Type;Name;Unit;Definition;Output_of_model(s);Input_to_model(s);Defined by
variable;Capacity|Electricity|Oil|w/ CCS;GW;Total installed (available) capacity of oil power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/ CCS|1, ..., Capacity|Electricity|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Oil|w/o CCS;GW;Total installed (available) capacity of oil power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/o CCS|1, ..., Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Solar|CSP;GW;Total installed (available) capacity of concentrating solar power (CSP). The installed (available) capacity of CSP by technology type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Solar|CSP|1, ..., Capacity|Electricity|Solar|CSP|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Solar|PV;GW;Total installed (available) capacity of solar PV power plants. The installed (available) capacity of solar PV power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Solar|PV|1, ..., Capacity|Electricity|Solar|PV|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Wind;GW;Total installed (available) capacity of wind power plants (onshore + offshore). The installed (available) capacity of wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|1, ..., Capacity|Electricity|Wind|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Wind|Offshore;GW;Total installed (available) capacity of offshore wind power plants. The installed (available) capacity of offshore wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|Offshore|1, ..., Capacity|Electricity|Wind|Offshore|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Electricity|Wind|Onshore;GW;Total installed (available) capacity of onshore wind power plants. The installed (available) capacity of onshore wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|Onshore|1, ..., Capacity|Electricity|Wind|Onshore|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ;;;
variable;Capacity|Petrochemicals|Biomass pyrolysis and gasification;Mt biomass input / yr;"Capacity for production of biogenic syngas from biomass via combined pyrolysis and gasification; the value refers to the amount of dry biomass input that can be processed per year";ITOM-PetChem;;WI
variable;Capacity|Petrochemicals|Chemical Recycling|Gasification;Mt plastic waste input / yr;"Capacity for chemical recycling of plastic wastes via gasification; the value refers to the amount of plastic waste input that can be processed per year";ITOM-PetChem;;WI
variable;Capacity|Petrochemicals|Chemical Recycling|Pyrolysis;Mt plastic waste input / yr;"Capacity for chemical recycling of plastic wastes via pyrolysis; the value refers to the amount of plastic waste input that can be processed per year";ITOM-PetChem;;WI
variable;Capacity|Petrochemicals|MtA;Mt methanol input / yr;"Capacity for aromatics production in the Methanol-to-aromatics routes; the value refers to the amount of methanol input that can be processed per year";ITOM-PetChem;;WI
variable;Capacity|Petrochemicals|MtO;Mt methanol input / yr;"Capacity for olefin production in the Methanol-to-olefins routes; the value refers to the amount of methanol input that can be processed per year";ITOM-PetChem;;WI
variable;Capacity|Petrochemicals|Organosolv;Mt biomass input / yr;"Capacity for dissolving biomass into cellulose+lignocellulose+lignin via Organosolv process; the value refers to the amount of biomass input that can be processed per year";ITOM-PetChem;;WI
variable;Capacity|Petrochemicals|Steamcracker;Mt feedstock input / yr;Capacity for HVC production in steamcrackers, the value refers to the amount of feedstock input that can be processed per year;ITOM-PetChem;;WI
variable;Capacity|Steel|blast furnace;Mt/yr;Capacity of blast furnace for iron production in Mt iron / year;ITOM-Steel;;WI
variable;Capacity|Steel|BOF;Mt/yr;Capacity of electric arc furnaces for crude steel production in Mt crude steel / year;ITOM-Steel;;WI
variable;Capacity|Steel|DRI;Mt/yr;Capacity of shaft furnaces for DRI production in Mt DRI / year;ITOM-Steel;;WI
variable;Capacity|Steel|EAF;Mt/yr;Capacity of basic oxygen furnaces for crude steel production in Mt crude steel / year;ITOM-Steel;;WI
variable;Capital Cost|Electricity|Biomass|w/ CCS;US$2010/kW;Capital cost of a new biomass power plant with CCS. If more than one CCS biomass power technology is modelled, modellers should report capital costs for each represented CCS biomass power technology by adding variables Capital Cost|Electricity|Biomass|w/ CCS|2, ... Capital Cost|Electricity|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Biomass|w/o CCS;US$2010/kW;Capital cost of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report capital costs for each represented biomass power technology by adding variables Capital Cost|Electricity|Biomass|w/o CCS|2, ... Capital Cost|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Coal|w/ CCS;US$2010/kW;Capital cost of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report capital costs for each represented CCS coal power technology by adding variables Capital Cost|Electricity|Coal|w/ CCS|2, ... Capital Cost|Electricity|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Coal|w/o CCS;US$2010/kW;Capital cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report capital costs for each represented coal power technology by adding variables Capital Cost|Electricity|Coal|w/o CCS|2, ... Capital Cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Gas|w/ CCS;US$2010/kW;Capital cost of a new gas power plant with CCS. If more than one CCS gas power technology is modelled, modellers should report capital costs for each represented CCS gas power technology by adding variables Capital Cost|Electricity|Gas|w/ CCS|2, ... Capital Cost|Electricity|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Gas|w/o CCS;US$2010/kW;Capital cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report capital costs for each represented gas power technology by adding variables Capital Cost|Electricity|Gas|w/o CCS|2, ... Capital Cost|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Geothermal;US$2010/kW;Capital cost of a new geothermal power plant. If more than one geothermal power technology is modelled, modellers should report capital costs for each represented geothermal power technology by adding variables Capital Cost|Electricity|Geothermal|2, ... Capital Cost|Electricity|Geothermal|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Hydro;US$2010/kW;Capital cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report capital costs for each represented hydropower technology by adding variables Capital Cost|Electricity|Hydro|2, ... Capital Cost|Electricity|Hydro|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Nuclear;US$2010/kW;"Capital cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV; LWR, thermal reactors with other moderator materials, fast breeders), modellers should report capital costs for each represented nuclear power technology by adding variables Capital Cost|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies). It is modeller's choice which nuclear power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ";;;
variable;Capital Cost|Electricity|Solar|CSP;US$2010/kW;Capital cost of a new concentrated solar power plant. If more than one CSP technology is modelled (e.g., parabolic trough, solar power tower), modellers should report capital costs for each represented CSP technology by adding variables Capital Cost|Electricity|Solar|CSP|2, ... Capital|Cost|Electricity|Solar|CSP|N (with N = number of represented CSP technologies). It is modeller's choice which CSP technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Solar|PV;US$2010/kW;Capital cost of a new solar PV units. If more than one PV technology is modelled (e.g., centralized PV plant, distributed (rooftop) PV, crystalline SI PV, thin-film PV), modellers should report capital costs for each represented PV technology by adding variables Capital Cost|Electricity|Solar|PV|2, ... Capital|Cost|Electricity|Solar|PV|N (with N = number of represented PV technologies). It is modeller's choice which PV technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Wind|Offshore;US$2010/kW;Capital cost of a new offshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one offshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report capital costs for each represented wind power technology by adding variables Capital Cost|Electricity|Wind|Offshore|2, ... Capital|Cost|Electricity|Wind|Offshore|N (with N = number of represented offshore wind power technologies). It is modeller's choice which offshore wind power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Electricity|Wind|Onshore;US$2010/kW;Capital cost of a new onshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one onshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report capital costs for each represented wind power technology by adding variables Capital Cost|Electricity|Wind|Onshore|2, ... Capital|Cost|Electricity|Wind|Onshore|N (with N = number of represented onshore wind power technologies). It is modeller's choice which onshore wind power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Gases|Biomass|w/ CCS;US$2010/kW;Capital cost of a new biomass to gas plant with CCS. If more than one CCS biomass to gas technology is modelled, modellers should report capital costs for each represented CCS biomass to  gas technology by adding variables Capital Cost|Gases|Biomass|w/ CCS|2, ... Capital Cost|Gases|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Gases|Biomass|w/o CCS;US$2010/kW;Capital cost of a new biomass to gas plant w/o CCS. If more than one biomass to gas technology is modelled, modellers should report capital costs for each represented biomass to gas technology by adding variables Capital Cost|Gases|Biomass|w/o CCS|2, ... Capital Cost|Gases|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Gases|Coal|w/ CCS;US$2010/kW;Capital cost of a new coal to gas plant with CCS. If more than one CCS coal to gas technology is modelled, modellers should report capital costs for each represented CCS coal to  gas technology by adding variables Capital Cost|Gases|Coal|w/ CCS|2, ... Capital Cost|Gases|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Gases|Coal|w/o CCS;US$2010/kW;Capital cost of a new coal to gas plant w/o CCS. If more than one coal to gas technology is modelled, modellers should report capital costs for each represented coal to gas technology by adding variables Capital Cost|Gases|Coal|w/o CCS|2, ... Capital Cost|Gases|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Hydrogen|Biomass|w/ CCS;US$2010/kW;Capital cost of a new biomass to hydrogen plant with CCS. If more than one CCS biomass to hydrogen technology is modelled, modellers should report capital costs for each represented CCS biomass to hydrogen technology by adding variables Capital Cost|Hydrogen|Biomass|w/ CCS|2, ... Capital Cost|Hydrogen|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Hydrogen|Biomass|w/o CCS;US$2010/kW;Capital cost of a new biomass to hydrogen plant w/o CCS. If more than one biomass to hydrogen technology is modelled, modellers should report capital costs for each represented biomass to hydrogen technology by adding variables Capital Cost|Hydrogen|Biomass|w/o CCS|2, ... Capital Cost|Hydrogen|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Hydrogen|Coal|w/ CCS;US$2010/kW;Capital cost of a new coal to hydrogen plant with CCS. If more than one CCS coal to hydrogen technology is modelled, modellers should report capital costs for each represented CCS coal to hydrogen technology by adding variables Capital Cost|Hydrogen|Coal|w/ CCS|2, ... Capital Cost|Hydrogen|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Hydrogen|Coal|w/o CCS;US$2010/kW;Capital cost of a new coal to hydrogen plant w/o CCS. If more than one coal to hydrogen technology is modelled, modellers should report capital costs for each represented coal to hydrogen technology by adding variables Capital Cost|Hydrogen|Coal|w/o CCS|2, ... Capital Cost|Hydrogen|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Hydrogen|Electricity;US$2010/kW;Capital cost of a new hydrogen-by-electrolysis plant. If more than hydrogen-by-electrolysis technology is modelled, modellers should report capital costs for each represented hydrogen-by-electrolysis technology by adding variables Capital Cost|Hydrogen|Electricity|2, ... Capital Cost|Hydrogen|Electricity|N (with N = number of represented technologies). It is modeller's choice which hydrogen-by-electrolysis technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Hydrogen|Gas|w/ CCS;US$2010/kW;Capital cost of a new gas to hydrogen plant with CCS. If more than one CCS gas to hydrogen technology is modelled, modellers should report capital costs for each represented CCS gas to hydrogen technology by adding variables Capital Cost|Hydrogen|Gas|w/ CCS|2, ... Capital Cost|Hydrogen|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Hydrogen|Gas|w/o CCS;US$2010/kW;Capital cost of a new gas to hydrogen plant w/o CCS. If more than one gas to hydrogen technology is modelled, modellers should report capital costs for each represented gas to hydrogen technology by adding variables Capital Cost|Hydrogen|Gas|w/o CCS|2, ... Capital Cost|Hydrogen|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Liquids|Biomass|w/ CCS;US$2010/kW;Capital cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report capital costs for each represented CCS BTL technology by adding variables Capital Cost|Liquids|Biomass|w/ CCS|2, ... Capital Cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Liquids|Biomass|w/o CCS;US$2010/kW;Capital cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report capital costs for each represented BTL technology by adding variables Capital Cost|Liquids|Biomass|w/o CCS|2, ... Capital Cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Liquids|Coal|w/ CCS;US$2010/kW;Capital cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report capital costs for each represented CCS CTL technology by adding variables Capital Cost|Liquids|Coal|w/ CCS|2, ... Capital Cost|Liquids|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Liquids|Coal|w/o CCS;US$2010/kW;Capital cost of a new coal to liquids plant w/o CCS. If more than one CTL technology is modelled, modellers should report capital costs for each represented CTL technology by adding variables Capital Cost|Liquids|Coal|w/o CCS|2, ... Capital Cost|Liquids|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Liquids|Gas|w/ CCS;US$2010/kW;Capital cost of a new gas to liquids plant with CCS. If more than one CCS GTL technology is modelled, modellers should report capital costs for each represented CCS GTL technology by adding variables Capital Cost|Liquids|Gas|w/ CCS|2, ... Capital Cost|Liquids|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS GTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Liquids|Gas|w/o CCS;US$2010/kW;Capital cost of a new gas to liquids plant w/o CCS. If more than one GTL technology is modelled, modellers should report capital costs for each represented GTL technology by adding variables Capital Cost|Liquids|Gas|w/o CCS|2, ... Capital Cost|Liquids|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which GTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Cost|Liquids|Oil;US$2010/kW;Capital cost of a new oil refining plant. If more than one refinery technology is modelled, modellers should report capital costs for each represented refinery technology by adding variables Capital Cost|Liquids|Oil|2, ... Capital Cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. ;;;
variable;Capital Formation;billion US$2010/yr;net additions to the physical capital stock;;;
variable;Capital Stock;billion US$2010/yr;Macroeconomic capital stock;;;
variable;Carbon Capture;Mt CO2/yr;"total carbon dioxide emissions captured, i.e. captured CO2 stream from bioenergy use, fossil fuel use, industrial processes, and direct air capture; should be reported as positive numbers";;;
variable;Carbon Capture|Biomass;Mt CO2/yr;total carbon dioxide emissions captured  from bioenergy use, should be reported as positive numbers;;;
variable;Carbon Capture|Biomass|Energy|Demand|Industry;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2), should be reported as positive numbers;;;
variable;Carbon Capture|Biomass|Energy|Supply;Mt CO2/yr;total carbon dioxide emissions captured  from bioenergy use, should be reported as positive numbers;;;
variable;Carbon Capture|Biomass|Energy|Supply|Electricity;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a), should be reported as positive numbers;;;
variable;Carbon Capture|Biomass|Energy|Supply|Gases;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Biomass|Energy|Supply|Hydrogen;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in hydrogen production (part of IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Biomass|Energy|Supply|Liquids;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in liquid fuel production (part of IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Biomass|Energy|Supply|Other;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in other energy supply (part of IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Direct Air Capture;Mt CO2/yr;total carbon dioxide captured through direct air capture;;;
variable;Carbon Capture|Electricity;Mt CO2/yr;total carbon dioxide emissions captured from hydrogen or synthetic fuel use, should be reported as positive numbers;;;
variable;Carbon Capture|Fossil;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use, should be reported as positive numbers;;;
variable;Carbon Capture|Fossil|Energy|Demand|Industry;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use in industry (IPCC category 1A2), should be reported as positive numbers;;;
variable;Carbon Capture|Fossil|Energy|Supply;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Fossil|Energy|Supply|Electricity;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use in electricity production (part of IPCC category 1A1a), should be reported as positive numbers;;;
variable;Carbon Capture|Fossil|Energy|Supply|Gases;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Fossil|Energy|Supply|Hydrogen;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use in hydrogen production (part of IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Fossil|Energy|Supply|Liquids;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use in liquid fuel production (part of IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Fossil|Energy|Supply|Other;Mt CO2/yr;total carbon dioxide emissions captured from fossil fuel use in other energy supply (part of IPCC category 1A), should be reported as positive numbers;;;
variable;Carbon Capture|Industrial Processes;Mt CO2/yr;total carbon dioxide emissions captured from industrial processes (e.g., cement production, but not from fossil fuel burning) use, should be reported as positive numbers;;;
variable;Carbon Capture|Industry;Mt CO2/yr;total carbon dioxide emissions captured from industrial energy use, should be reported as positive numbers;;;
variable;Carbon Capture|Industry|Biomass;Mt CO2/yr;total carbon dioxide emissions from biomass captured in industry sector;;;
variable;Carbon Capture|Industry|Electricity;Mt CO2/yr;total carbon dioxide emissions from hydrogen or synthetic fuel use captured in industry sector;;;
variable;Carbon Capture|Industry|Fossil;Mt CO2/yr;total carbon dioxide emissions from fossil fuel use captured in industry sector;;;
variable;Carbon Capture|Other;Mt CO2/yr;total carbon dioxide captured through other techniques  (please provide a definition of other sources in this category in the 'comments' tab);;;
variable;Carbon Capture|Storage;Mt CO2/yr;total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;;;
variable;Carbon Capture|Storage|Biomass;Mt CO2/yr;total carbon dioxide emissions captured  from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;;;
variable;Carbon Capture|Storage|Biomass|Energy|Demand|Industry;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;;;
variable;Carbon Capture|Storage|Biomass|Energy|Supply;Mt CO2/yr;total carbon dioxide emissions captured  from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;;;
variable;Carbon Capture|Storage|Biomass|Energy|Supply|Electricity;Mt CO2/yr;total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers;;;
